Geographic Area,Pop.2019
"Jesup, GA",29927
"Juneau, AK",31974
"Kalispell, MT",103806
"Kapaa, HI",72293
"Kearney, NE",56154
"Keene, NH",76085
"Kendallville, IN",47744
"Kennett, MO",29131
"Kerrville, TX",52600
"Ketchikan, AK",13901
"Key West, FL",74228
"Kill Devil Hills, NC",37009
"Kingsville, TX",31084
"Kinston, NC",55949
"Kirksville, MO",30003
"Klamath Falls, OR",68238
"Laconia, NH",61303
"La Grande, OR",26835
"LaGrange, GA-AL",103176
"Lake City, FL",71686
"Lamesa, TX",12728
"Laramie, WY",38880
"Las Vegas, NM",31798
"Laurel, MS",84481
"Laurinburg, NC",34823
"Lawrenceburg, TN",44142
"Lebanon, MO",35723
"Lebanon, NH-VT",216986
"Levelland, TX",23021
"Lewisburg, PA",44923
"Lewisburg, TN",34375
"Lewistown, PA",46138
"Lexington, NE",25585
"Liberal, KS",21428
"Lincoln, IL",28618
"Lock Haven, PA",38632
"Logansport, IN",37689
"London, KY",148123
"Los Alamos, NM",19369
"Ludington, MI",29144
"Lufkin, TX",86715
"Lumberton, NC",130625
"Macomb, IL",29682
"Madison, IN",32308
"Madisonville, KY",44686
"Magnolia, AR",23457
"Malone, NY",50022
"Malvern, AR",33771
"Manitowoc, WI",78981
"Marietta, OH",59911
"Marinette, WI-MI",63130
"Marion, IN",65769
"Marion, NC",45756
"Marion, OH",65093
"Marquette, MI",66699
"Marshall, MN",25474
"Marshall, MO",22761
"Marshalltown, IA",39369
"Martin, TN",33328
"Martinsville, VA",63111
"Maryville, MO",22092
"Mason City, IA",49831
"Mayfield, KY",37266
"Maysville, KY",17070
"McAlester, OK",43654
"McComb, MS",39288
"McMinnville, TN",41277
"McPherson, KS",28542
"Meadville, PA",84629
"Menomonie, WI",45368
"Meridian, MS",99408
"Mexico, MO",25388
"Miami, OK",31127
"Middlesborough, KY",26032
"Milledgeville, GA",53347
"Minden, LA",38340
"Mineral Wells, TX",29189
"Minot, ND",75713
"Mitchell, SD",23228
"Moberly, MO",24748
"Montrose, CO",47710
"Morehead City, NC",69473
"Morgan City, LA",49348
"Moscow, ID",40108
"Moses Lake, WA",97733
"Moultrie, GA",45600
"Mountain Home, AR",41932
"Mountain Home, ID",27511
"Mount Airy, NC",71783
"Mount Gay-Shamrock, WV",32019
"Mount Pleasant, MI",69872
"Mount Pleasant, TX",45844
"Mount Sterling, KY",47146
"Mount Vernon, IL",37684
"Mount Vernon, OH",62322
"Murray, KY",39001
"Muscatine, IA",42664
"Muskogee, OK",67997
"Nacogdoches, TX",65204
"Natchez, MS-LA",49952
"Natchitoches, LA",38158
"Newberry, SC",38440
"New Castle, IN",47972
"New Castle, PA",85512
"New Philadelphia-Dover, OH",91987
"Newport, OR",49962
"Newport, TN",36004
"New Ulm, MN",25008
"Nogales, AZ",46498
"Norfolk, NE",48167
"North Platte, NE",36156
"North Vernon, IN",27735
"North Wilkesboro, NC",68412
"Norwalk, OH",58266
"Oak Harbor, WA",85141
"Ogdensburg-Massena, NY",107740
"Oil City, PA",50668
"Okeechobee, FL",42168
"Olean, NY",76117
"Oneonta, NY",59493
"Ontario, OR-ID",54522
"Opelousas, LA",82124
"Orangeburg, SC",86175
"Oskaloosa, IA",22095
"Othello, WA",19983
"Ottawa, IL",147036
"Ottawa, KS",25544
"Ottumwa, IA",34969
"Owatonna, MN",36649
"Oxford, MS",54019
"Ozark, AL",49172
"Paducah, KY-IL",96272
"Pahrump, NV",46523
"Palatka, FL",74521
"Palestine, TX",57735
"Pampa, TX",22740
"Paragould, AR",45325
"Paris, TN",32345
"Paris, TX",49859
"Parsons, KS",19618
"Payson, AZ",54018
"Pearsall, TX",20306
"Pecos, TX",16145
"Pella, IA",33253
"Peru, IN",35516
"Picayune, MS",55535
"Pierre, SD",20624
"Pinehurst-Southern Pines, NC",100880
"Pittsburg, KS",38818
"Plainview, TX",33406
"Platteville, WI",51439
"Plattsburgh, NY",80485
"Plymouth, IN",46258
"Point Pleasant, WV-OH",56414
"Ponca City, OK",43538
"Pontiac, IL",35648
"Poplar Bluff, MO",55766
"Portales, NM",18500
"Port Angeles, WA",77331
"Port Lavaca, TX",21290
"Portsmouth, OH",75314
"Pottsville, PA",141359
"Price, UT",20463
"Prineville, OR",24404
"Pullman, WA",50104
"Quincy, IL-MO",75211
"Raymondville, TX",21358
"Red Bluff, CA",65084
"Red Wing, MN",46340
"Rexburg, ID",53006
"Richmond, IN",65884
"Richmond-Berea, KY",107093
"Rio Grande City-Roma, TX",64633
"Riverton, WY",39261
"Roanoke Rapids, NC",69493
"Rochelle, IL",50643
"Rockingham, NC",44829
"Rockport, TX",23510
"Rock Springs, WY",42343
"Rolla, MO",44573
"Roseburg, OR",110980
"Roswell, NM",64615
"Ruidoso, NM",19572
"Russellville, AR",85413
"Ruston, LA",46742
"Rutland, VT",58191
"Safford, AZ",38837
"St Marys, GA",54666
"St Marys, PA",29910
"Salem, OH",101883
"Salina, KS",59928
"Sandpoint, ID",45739
"Sandusky, OH",74266
"Sanford, NC",61779
"Sault Ste Marie, MI",37349
"Sayre, PA",60323
"Scottsbluff, NE",37529
"Scottsboro, AL",51626
"Scottsburg, IN",23873
"Searcy, AR",78753
"Sedalia, MO",42339
"Selinsgrove, PA",40372
"Selma, AL",37196
"Seneca, SC",79546
"Seneca Falls, NY",34016
"Sevierville, TN",98250
"Seymour, IN",44231
"Shawano, WI",45455
"Shawnee, OK",72592
"Shelby, NC",97947
"Shelbyville, TN",49713
"Shelton, WA",66768
"Sheridan, WY",30485
"Show Low, AZ",110924
"Sidney, OH",48590
"Sikeston, MO",38280
"Silver City, NM",26998
"Snyder, TX",16703
"Somerset, KY",64979
"Somerset, PA",73447
"Sonora, CA",54478
"Spearfish, SD",25844
"Spencer, IA",16016
"Spirit Lake, IA",17258
"Starkville, MS",59276
"Statesboro, GA",79608
"Steamboat Springs, CO",25638
"Stephenville, TX",42698
"Sterling, CO",22409
"Sterling, IL",55175
"Stevens Point, WI",70772
"Stillwater, OK",81784
"Storm Lake, IA",19620
"Sturgis, MI",60964
"Sulphur Springs, TX",37084
"Summerville, GA",24789
"Sunbury, PA",90843
"Susanville, CA",30573
"Sweetwater, TX",14714
"Tahlequah, OK",48657
"Talladega-Sylacauga, AL",79978
"Taos, NM",32723
"Taylorville, IL",32304
"The Dalles, OR",26682
"Thomaston, GA",26320
"Thomasville, GA",44451
"Tiffin, OH",55178
"Tifton, GA",40644
"Toccoa, GA",25925
"Torrington, CT",180333
"Traverse City, MI",150653
"Troy, AL",33114
"Truckee-Grass Valley, CA",99755
"Tullahoma-Manchester, TN",105216
"Tupelo, MS",166126
"Ukiah, CA",86749
"Union, SC",27316
"Union City, TN",30069
"Urbana, OH",38885
"Uvalde, TX",26741
"Van Wert, OH",28275
"Vermillion, SD",14070
"Vernal, UT",35734
"Vernon, TX",12769
"Vicksburg, MS",45381
"Vidalia, GA",36002
"Vincennes, IN",36594
"Vineyard Haven, MA",17332
"Wabash, IN",30996
"Wahpeton, ND-MN",22384
"Wapakoneta, OH",45656
"Warren, PA",39191
"Warrensburg, MO",54062
"Warsaw, IN",79456
"Washington, IN",33351
"Washington, NC",46994
"Washington Court House, OH",28525
"Watertown, SD",34173
"Watertown-Fort Atkinson, WI",84769
"Wauchula, FL",26937
"Waycross, GA",55199
"Weatherford, OK",29003
"West Plains, MO",40117
"West Point, MS",19316
"Whitewater, WI",103868
"Williston, ND",37589
"Willmar, MN",43199
"Wilmington, OH",41968
"Wilson, NC",81801
"Winfield, KS",34908
"Winnemucca, NV",16831
"Winona, MN",50484
"Wisconsin Rapids-Marshfield, WI",72999
"Woodward, OK",24070
"Wooster, OH",115710
"Worthington, MN",21629
"Yankton, SD",22814
"Zanesville, OH",86215
"Zapata, TX",14179
Puerto Rico,3193694
In Micropolitan Statistical Area,100564
"Coamo, PR",38336
"Coco, PR",27128
"Jayuya, PR",13891
"Santa Isabel, PR",21209
