Geographic Area,Pop.2019
"Kankakee, IL",109862
"Kansas City, MO-KS",2157990
"Kennewick-Richland, WA",299612
"Killeen-Temple, TX",460303
"Kingsport-Bristol, TN-VA",307202
"Kingston, NY",177573
"Knoxville, TN",869046
"Kokomo, IN",82544
"La Crosse-Onalaska, WI-MN",136616
"Lafayette, LA",489207
"Lafayette-West Lafayette, IN",233002
"Lake Charles, LA",210409
"Lake Havasu City-Kingman, AZ",212181
"Lakeland-Winter Haven, FL",724777
"Lancaster, PA",545724
"Lansing-East Lansing, MI",550391
"Laredo, TX",276652
"Las Cruces, NM",218195
"Las Vegas-Henderson-Paradise, NV",2266715
"Lawrence, KS",122259
"Lawton, OK",126415
"Lebanon, PA",141793
"Lewiston, ID-WA",62990
"Lewiston-Auburn, ME",108277
"Lexington-Fayette, KY",517056
"Lima, OH",102351
"Lincoln, NE",336374
"Little Rock-North Little Rock-Conway, AR",742384
"Logan, UT-ID",142165
"Longview, TX",286657
"Longview, WA",110593
"Los Angeles-Long Beach-Anaheim, CA",13214799
"Anaheim-Santa Ana-Irvine, CA Metro Division",3175692
"Los Angeles-Long Beach-Glendale, CA Metro Division",10039107
"Louisville/Jefferson County, KY-IN",1265108
"Lubbock, TX",322257
"Lynchburg, VA",263566
"Macon-Bibb County, GA",229996
"Madera, CA",157327
"Madison, WI",664865
"Manchester-Nashua, NH",417025
"Manhattan, KS",130285
"Mankato, MN",101927
"Mansfield, OH",121154
"McAllen-Edinburg-Mission, TX",868707
"Medford, OR",220944
"Memphis, TN-MS-AR",1346045
"Merced, CA",277680
"Miami-Fort Lauderdale-Pompano Beach, FL",6166488
"Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division",1952778
"Miami-Miami Beach-Kendall, FL Metro Division",2716940
"West Palm Beach-Boca Raton-Boynton Beach, FL Metro Division",1496770
"Michigan City-La Porte, IN",109888
"Midland, MI",83156
"Midland, TX",182603
"Milwaukee-Waukesha, WI",1575179
"Minneapolis-St Paul-Bloomington, MN-WI",3640043
"Missoula, MT",119600
"Mobile, AL",429536
"Modesto, CA",550660
"Monroe, LA",200261
"Monroe, MI",150500
"Montgomery, AL",373290
"Morgantown, WV",139044
"Morristown, TN",142749
"Mount Vernon-Anacortes, WA",129205
"Muncie, IN",114135
"Muskegon, MI",173566
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",496901
"Napa, CA",137744
"Naples-Marco Island, FL",384902
"Nashville-Davidson--Murfreesboro--Franklin, TN",1934317
"New Bern, NC",124284
"New Haven-Milford, CT",854757
"New Orleans-Metairie, LA",1270530
"New York-Newark-Jersey City, NY-NJ-PA",19216182
"Nassau County-Suffolk County, NY Metro Division",2833525
"Newark, NJ-PA Metro Division",2167829
"New Brunswick-Lakewood, NJ Metro Division",2379977
"New York-Jersey City-White Plains, NY-NJ Metro Division",11834851
"Niles, MI",153401
"North Port-Sarasota-Bradenton, FL",836995
"Norwich-New London, CT",265206
"Ocala, FL",365579
